,time_elap,time_elap_c_astar,c_astar_calls,tasks_completed
0,0.18749737739562988,0.1718769073486328,38,14
1,0.20302700996398926,0.1874072551727295,46,19
2,0.17184066772460938,0.17184066772460938,44,17
3,0.21869874000549316,0.21869874000549316,44,17
4,0.1405959129333496,0.12497758865356445,48,19
5,0.15621352195739746,0.14063596725463867,46,18
6,0.2030320167541504,0.17178916931152344,36,13
7,0.18749403953552246,0.17187070846557617,42,16
8,0.1405930519104004,0.1405930519104004,46,18
9,0.2498948574066162,0.2498948574066162,44,17
